HZ,fft
0,(0.1209716796875-0j)
0.33316675,(0.10668737441301346+0.019173361361026764j)
0.6663335,(0.3583427667617798+0.4947771430015564j)
0.99950025,(1.394684076309204-0.49054616689682007j)
1.332667,(-0.07853715121746063+0.23785564303398132j)
1.66583375,(-3.5351619720458984-0.8810405731201172j)
1.9990005,(-2.374804973602295+2.919774055480957j)
2.33216725,(-1.5330839157104492+0.15763609111309052j)
2.665334,(-0.5539178848266602+0.5290614366531372j)
2.99850075,(-0.6377118825912476-0.4074154496192932j)
3.3316675,(-0.43677762150764465+0.9515545964241028j)
3.66483425,(-0.3623626232147217-0.3623175024986267j)
3.998001,(-0.8527475595474243+0.928851842880249j)
4.331167749,(-0.5826970338821411-0.30536580085754395j)
4.664334499,(-0.7452540397644043+0.3240504264831543j)
4.997501249,(0.02457847073674202-0.46934977173805237j)
5.330667999,(-1.7311160564422607+3.677152156829834j)
5.663834749,(2.3344650268554688+0.9108057022094727j)
5.997001499,(1.7918484210968018+1.5847477912902832j)
6.330168249,(-0.7769190073013306-0.20175646245479584j)
6.663334999,(-0.9469625353813171+0.3512345552444458j)
6.996501749,(-0.7101215124130249+0.21408185362815857j)
7.329668499,(-1.1241159439086914+0.2950870394706726j)
7.662835249,(-1.0971331596374512-0.022410128265619278j)
7.996001999,(-0.7973126769065857-0.6480223536491394j)
8.329168749,(-2.681974411010742+0.05007527023553848j)
8.662335499,(-3.5945544242858887-1.4658117294311523j)
8.995502249,(0.8665242195129395+1.8232405185699463j)
9.328668999,(2.6946921348571777+0.35499605536460876j)
9.661835749,(0.777564525604248+0.4117899239063263j)
9.995002499,(0.23658613860607147-0.26849696040153503j)
10.32816925,(-0.823879599571228-0.3918955326080322j)
10.661336,(2.3115158081054688+2.095372200012207j)
10.99450275,(0.5112850666046143+1.5414669513702393j)
11.3276695,(1.1164451837539673+0.7665297389030457j)
11.66083625,(0.1734982430934906+1.248340129852295j)
11.994003,(0.6166019439697266+0.9223771095275879j)
12.32716975,(-1.5879566669464111+1.387815237045288j)
12.6603365,(3.7607216835021973-0.948381781578064j)
12.99350325,(0.3685228228569031-0.22322317957878113j)
13.32667,(-1.3590275049209595-1.862846851348877j)
13.65983675,(0.8812026977539062+1.52228581905365j)
13.9930035,(-0.9922052621841431-2.6612956523895264j)
14.32617025,(-0.17602139711380005-0.8839536309242249j)
14.659337,(0.5978990197181702-0.8020577430725098j)
14.99250375,(0.44576478004455566-0.20427733659744263j)
15.3256705,(-0.2347879707813263+0.3212956190109253j)
15.65883725,(0.9227996468544006-0.0793488621711731j)
15.992004,(3.9010627269744873+3.9610726833343506j)
16.32517075,(0.4911133944988251+0.5096968412399292j)
16.6583375,(-0.6909009218215942-2.283705711364746j)
16.99150425,(-0.08540453016757965-1.0655450820922852j)
17.324671,(-0.47319668531417847-1.275139331817627j)
17.65783775,(-0.20040367543697357-0.8564984798431396j)
17.9910045,(0.03414783254265785-0.43384236097335815j)
18.32417125,(0.4460769295692444-0.8007478713989258j)
18.657338,(-0.49772781133651733-0.44177085161209106j)
18.99050475,(-0.1627899706363678-0.914783239364624j)
19.3236715,(-0.41008949279785156-1.5249205827713013j)
19.65683825,(3.1157426834106445-0.23221655189990997j)
19.990005,(-2.526165723800659-0.7638822793960571j)
20.32317175,(-1.5184588432312012-2.450439929962158j)
20.6563385,(0.17407381534576416+2.58168888092041j)
20.98950525,(-0.618094265460968+0.7712442874908447j)
21.322672,(-0.4313238859176636-0.07110653817653656j)
21.65583875,(-0.08044533431529999-0.21701957285404205j)
21.9890055,(-0.561589777469635+0.3637107014656067j)
22.32217225,(-0.48639193177223206+0.029429737478494644j)
22.655339,(-0.013374105095863342-0.7550655603408813j)
22.98850575,(0.279009610414505+1.4058716297149658j)
23.3216725,(-2.251852035522461-5.375688552856445j)
23.65483925,(0.5691787600517273-4.373538970947266j)
23.988006,(-1.1137651205062866+1.0189570188522339j)
24.32117275,(-0.9833006262779236+0.09621318429708481j)
24.6543395,(-1.029639720916748-0.4259391129016876j)
24.98750625,(-0.560824453830719+0.3156217932701111j)
25.320673,(-0.5934309959411621-0.2071661353111267j)
25.65383975,(-0.7269501090049744-0.4073886275291443j)
25.9870065,(-0.19370892643928528-0.013936584815382957j)
26.32017325,(-0.9251230955123901+0.5258345603942871j)
26.65334,(-1.0807790756225586+0.7964495420455933j)
26.98650675,(-3.450967788696289-2.249408721923828j)
27.3196735,(0.4133695960044861-0.2591112554073334j)
27.65284025,(-0.6883461475372314+2.501255512237549j)
27.986007,(-0.6769716143608093-0.7590620517730713j)
28.31917375,(0.12406927347183228-0.8010739684104919j)
28.6523405,(0.5843484401702881+0.31087517738342285j)
28.98550725,(-1.2576303482055664-0.010952286422252655j)
29.318674,(-0.1894906908273697-0.5422049164772034j)
29.65184075,(-0.7024186849594116-0.6567413806915283j)
29.9850075,(-0.29101356863975525-0.3505646288394928j)
30.31817425,(-0.19512738287448883-3.6837427616119385j)
30.651341,(-0.2440723329782486+3.2175607681274414j)
30.98450775,(-4.57395601272583+4.234087944030762j)
31.3176745,(1.3464490175247192-0.07783050090074539j)
31.65084125,(-0.48698559403419495+1.036578893661499j)
31.984008,(0.37290456891059875+0.8192160725593567j)
32.31717475,(-0.48186174035072327+0.6442877054214478j)
32.6503415,(0.12600064277648926+0.40264660120010376j)
32.98350825,(-0.20268815755844116+0.49890315532684326j)
33.316675,(-0.8877267837524414+0.9721075296401978j)
33.64984175,(-0.25967681407928467+0.5299440622329712j)
33.9830085,(-0.34491419792175293-0.37106963992118835j)
34.31617525,(0.3456396162509918+3.363948345184326j)
34.649342,(-0.4473972022533417+2.488917350769043j)
34.98250875,(2.011122465133667-3.4121718406677246j)
